"Арт №";"Наименование позиции";"Цена, грн";Ед.
73813;"Комплект ящиков Atira, полного выдвижения с метал.надст. TopSide P2O SS L=350мм H=144мм, белый";"3518,84 грн.";к-т
73862;"Комплект для ящиков Atira, полного выдвижения P2O SS L=350мм H=176мм, белый";"2747,93 грн.";к-т
73731;"Комплект для ящиков Atira, полного выдвижения P2O SS L=520мм H=176мм, белый Hettich (2 релинга)";"3133,63 грн.";к-т
73633;"Комплект для внутренних ящиков Atira, полного выдвижения P2O Silent L=470мм H=70мм, антрацит Hettich";"4121,56 грн.";к-т
73698;"Комплект для внутренних ящиков Atira, полного выдвижения P2O SS L=520мм H=144мм, серебристый Hettich";"5229,72 грн.";к-т
73712;"Комплект ящиков Atira, полного выдвижения с стекл.надст. TopSide P2O SS L=520мм H=144мм, белый";"3629,02 грн.";к-т
73721;"Комплект ящиков Atira, полного выдвижения со стекл.надст. DesignSide P2O SS L=520мм H=144мм, серебро";"3767,13 грн.";к-т
73796;"Комплект ящиков Atira, полного выдвижения со стекл.над. DesignSide P2O SS L=420мм H=144мм, антрацит";"3684,46 грн.";к-т
73696;"Комплект для внутренних ящиков Atira, полного выдвижения P2O SS L=520мм H=144мм, белый Hettich";"5229,72 грн.";к-т
73728;"Комплект для ящиков Atira, полного выдвижения P2O SS L=520мм H=176мм, антрацит Hettich";"2873,33 грн.";к-т
73680;"Комплект для внутренних ящиков Atira, полного выдвижения P2O L=520мм H=70мм, белый Hettich";"3354,03 грн.";к-т
73660;"Комплект ящиков Atira, полного выдвижения с стекл.надставками TopSide P2O L=470мм H=144мм, белый";"2792,18 грн.";к-т
73655;"Комплект ящиков Atira, полного выдвижения с метал.надставками TopSide P2O L=470мм H=144мм, серебро";"2821,98 грн.";к-т
73782;"Комплект для внутренних ящиков Atira, полного выдвижения P2O L=420мм H=144мм, белый Hettich";"4362,76 грн.";к-т
73711;"Комплект ящиков Atira, полного выдвижения с стекл.надставками TopSide P2O L=520мм H=144мм, антрацит";"2830,9 грн.";к-т
73753;"Комплект для внутренних ящиков Atira, полного выдвижения P2O L=420мм H=70мм, антрацит Hettich";"3297,73 грн.";к-т
73637;"Комплект для внутренних ящиков Atira, полного выдвижения P2O L=470мм H=70мм, белый Hettich";"3325,87 грн.";к-т
72626;"Стабилизатор передней панели для Atira (9117782) Hettich";"37,62 грн.";шт
66545;"Комплект для ящиков Atira, полного выдвижения L=520мм H=177-500мм, антрацит Hettich";"2157,85 грн.";к-т
66555;"Комплект для ящиков Atira, полного выдвижения L=420мм H=177-500мм, серебристый Hettich";"2071,49 грн.";к-т
66581;"Комплект для ящиков Atira, частичного выдвижения L=350мм H=177-500мм, белый Hettich";"1746,84 грн.";к-т
94283;"Боковина Atira L=620 мм H=70мм антрацит, правая (9194431) Hettich";"258,36 грн.";шт
94290;"Боковина Atira L=620 мм H=70мм антрацит, левая (9194430) Hettich";"258,36 грн.";шт
118896;"Комплект для ящиков Atira, P2O полного выдвижения L=470мм H=54мм, серебро Hettich";"2563,68 грн.";к-т
92788;"AvanTech YOU Боковина H=187, Inlay (под стекло) L=500мм, серебро, правая (9257138) Hettich";"660,12 грн.";шт
92899;"AvanTech YOU Боковина H=101, L=300мм, серебро, левая (9255010) Hettich";"346,62 грн.";шт
92965;"AvanTech YOU Боковина H=101, L=450мм, серебро, правая (9255017) Hettich";"365,76 грн.";шт
92973;"AvanTech YOU Боковина H=101, L=650мм, серебро, правая (9255025) Hettich";"401,22 грн.";шт
92981;"AvanTech YOU Боковина H=101, L=300мм, белая, правая (9255091) Hettich";"346,62 грн.";шт
92991;"AvanTech YOU Боковина H=101, L=450мм, белая, левая (9255096) Hettich";"365,76 грн.";шт
92999;"AvanTech YOU Боковина H=187, Inlay (под стекло) L=600мм, белый, правая (9257156) Hettich";"688,56 грн.";шт
93015;"AvanTech YOU Боковина H=101, L=550мм, белая, правая (9255101) Hettich";"378,54 грн.";шт
93040;"AvanTech YOU Боковина H=101, L=270мм, антрацит, левая (9255168) Hettich";"342,78 грн.";шт
93051;"AvanTech YOU Боковина H=187, Inlay (под стекло) L=600мм, антрацит, левая (9257169) Hettich";"688,56 грн.";шт
93064;"AvanTech YOU Лицевая панель алюминий H=101мм L=2000мм, серебро (9257269) Hettich";"2740,38 грн.";шт
93074;"AvanTech YOU DesignCape H=101мм L=2000мм, алюминий (9257643) Hettich";"2768,76 грн.";шт
93105;"AvanTech YOU Боковина H=187, L=270мм, серебро, левая (9255044) Hettich";"566,46 грн.";шт
93126;"AvanTech YOU Боковина H=187, L=450мм, серебро, левая (9255052) Hettich";"604,44 грн.";шт
93143;"AvanTech YOU DesignCape H=187мм L=2000мм, алюминий (9257645) Hettich";"4568,4 грн.";шт
93192;"AvanTech YOU Боковина H=187, L=300мм, белый, правая (9255127) Hettich";"572,82 грн.";шт
93206;"Направляющая Actro YOU L=270мм (40 кг), левая (9256974) Hettich";"465,72 грн.";шт
93215;"Направляющая Actro YOU L=350мм (40 кг), левая (9256980) Hettich";"465,72 грн.";шт
93230;"Направляющая Actro YOU L=450мм (40 кг), левая (9256988) Hettich";"477,54 грн.";шт
93264;"Направляющая Actro YOU L=600мм (40 кг), левая (9268679) Hettich";"522,18 грн.";шт
93289;"AvanTech YOU Комплект стекол для боковин H=187мм L=400мм (9283179) Hettich";"1364,76 грн.";шт
93299;"AvanTech YOU Боковина H=187, L=400мм, антрацит, правая (9255211) Hettich";"593,88 грн.";шт
93314;"AvanTech YOU Боковина H=187, L=600мм, антрацит, левая (9255218) Hettich";"641,4 грн.";шт
93328;"AvanTech YOU дизайн-профиль L=600мм, серебро (9255811) Hettich";"20,04 грн.";шт
93338;"AvanTech YOU дизайн-профиль L=550мм, белый (9255819) Hettich";"19,56 грн.";шт
93348;"AvanTech YOU Боковина H=187, L=650мм, антрацит, левая (9255220) Hettich";"663 грн.";шт
93356;"AvanTech YOU дизайн-профиль L=600мм, антрацит (9255829) Hettich";"20,04 грн.";шт
93365;"AvanTech YOU Боковина H=251, L=500мм, серебро, правая (9255073) Hettich";"968,1 грн.";шт
93373;"AvanTech YOU Боковина H=251, L=650мм, серебро, левая (9255078) Hettich";"1043,76 грн.";шт
93381;"AvanTech YOU заглушка лицевой панели внутреннего ящика H=187, белая (9257635) Hettich";"12,42 грн.";шт
93389;"AvanTech YOU профиль для поклейки DesignCape L=2000мм (9255831) Hettich";"96,06 грн.";шт
93397;"AvanTech YOU Боковина H=251, L=450мм, белая, левая (9255150) Hettich";"951,54 грн.";шт
93406;"AvanTech YOU Боковина H=251, L=550мм, белая, правая (9255155) Hettich";"984,72 грн.";шт
93418;"AvanTech YOU Боковина H=251, L=650мм, белая, левая (9255158) Hettich";"1043,76 грн.";шт
93428;"Направляющая Quadro YOU L=450мм (30 кг), правая (9256869) Hettich";"379,56 грн.";шт
93436;"AvanTech YOU Боковина H=251, L=500мм, антрацит, правая (9255233) Hettich";"968,1 грн.";шт
93484;"AvanTech YOU Боковина H=251, L=600мм, антрацит, правая (9255237) Hettich";"1009,74 грн.";шт
93499;"AvanTech YOU Боковина H=187, Inlay (под стекло) L=350мм, серебро, правая (9257132) Hettich";"626,22 грн.";шт
94442;"Комплект ящика AvanTech YOU Q L=400 H=101 антрацит Hettich";"1883,47 грн.";к-т
94460;"Комплект ящика AvanTech YOU Q L=500 H=101 серебро Hettich";"1940,63 грн.";к-т
94581;"Комплект ящика AvanTech YOU Q L=500 H=187 белый Hettich";"2528,71 грн.";к-т
94609;"Комплект внутреннего ящика AvanTech YOU Q L=500 H=101 антрацит Hettich";"4745,91 грн.";к-т
94642;"AvanTech YOU профиль внутреннего ящика под стекло, 2000 мм, белый (9257664) Hettich";"1370,22 грн.";шт
94662;"Комплект внутреннего ящика AvanTech YOU A L=350 H=101 белый Hettich";"4863,03 грн.";к-т
94678;"Комплект внутреннего ящика AvanTech YOU Q L=350 H=187 Inlay (скло 130мм) антрацит корпус 600мм";"7080,83 грн.";к-т
94686;"Комплект ящика AvanTech YOU Q L=350H=187 Inlay (скло) серебро Hettich";"3758,64 грн.";к-т
94696;"Комплект внутреннего ящика AvanTech YOU Q L=400 H=187 белый Hettich";"6628,48 грн.";к-т
94729;"Комплект внутреннего ящика AvanTech YOU Q L=400 H=187 Inlay (скло 66мм) антрацит корпус 600мм";"6828,85 грн.";к-т
94742;"Комплект ящика AvanTech YOU Q L=400 H=251 серебро Hettich";"3171,12 грн.";к-т
94770;"Комплект ящика AvanTech YOU Q L=450 H=187 белый Hettich";"2491,54 грн.";к-т
94781;"Комплект ящика AvanTech YOU Q L=450H=187 Inlay (скло) антрацит Hettich";"3981 грн.";к-т
94798;"Комплект внутреннего ящика AvanTech YOU Q L=550 H=101 серебро Hettich";"4774,75 грн.";к-т
94885;"Комплект внутреннего ящика AvanTech YOU Q L=550H=187 Inlay (скло 130мм) белый корпус 600мм";"7598,67 грн.";к-т
94914;"Комплект ящика AvanTech YOU Q L=550 H=251 антрацит Hettich";"3318,42 грн.";к-т
94961;"Комплект внутреннего ящика AvanTech YOU Q L=600 H=187 серебро Hettich";"6788,19 грн.";к-т
94978;"Комплект внутреннего ящика AvanTech YOU Q L=600 H=187 Inlay (скло 66мм) белый корпус 600мм";"7431,3 грн.";к-т
95072;"Комплект внутреннего ящика AvanTech YOU Q L=350 H=101 белый Hettich";"4659,93 грн.";к-т
95090;"Комплект внутреннего ящика AvanTech YOU A L=350 H=187 серебро Hettich";"6794,42 грн.";к-т
95159;"Комплект внутреннего ящика AvanTech YOU A L=350 H=187 Inlay (скло 66мм) белый корпус 600мм";"6920,76 грн.";к-т
95230;"Комплект внутреннего ящика AvanTech YOU A L=400 H=101 антрацит Hettich";"4888,31 грн.";к-т
95293;"Комплект внутреннего ящика AvanTech YOU A L=400 H=187 серебро Hettich";"6828,04 грн.";к-т
95304;"Комплект внутреннего ящика AvanTech YOU A L=400 H=187 Inlay (скло 66мм) белый корпус 600мм";"7028,41 грн.";к-т
95338;"Комплект внутреннего ящика AvanTech YOU A L=450 H=101 антрацит Hettich";"4913,51 грн.";к-т
95353;"Комплект внутреннего ящика AvanTech YOU A L=450 H=187 Inlay (скло 130мм) серебро корпус 600мм";"7499,13 грн.";к-т
95378;"Комплект ящика AvanTech YOU A L=450 H=251 белый Hettich";"3416,32 грн.";к-т
95440;"Комплект внутреннего ящика AvanTech YOU A L=500 H=187 антрацит Hettich";"6895,22 грн.";к-т
95449;"Комплект внутреннего ящика AvanTech YOU A L=500 H=187 Inlay (скло 130мм) серебро корпус 600мм";"7606,8 грн.";к-т
95465;"Комплект ящика AvanTech YOU A L=500 H=251 белый Hettich";"3462,06 грн.";к-т
95549;"Комплект внутреннего ящика AvanTech YOU A L=550 H=187 антрацит Hettich";"6980,29 грн.";к-т
95618;"Комплект внутреннего ящика AvanTech YOU A L=550 H=187 Inlay (скло 66мм) антрацит корпус 600мм";"7475,85 грн.";к-т
95642;"Комплект ящика AvanTech YOU A L=550 H=251 белый Hettich";"3559,26 грн.";к-т
95652;"Комплект внутреннего ящика AvanTech YOU A L=600 H=101 антрацит Hettich";"5049,84 грн.";к-т
95677;"Комплект внутреннего ящика AvanTech YOU A L=600 H=187 серебро Hettich";"7027,1 грн.";к-т
95688;"Комплект внутреннего ящика AvanTech YOU A L=600 H=187 Inlay (скло 66мм) белый корпус 600мм";"7670,21 грн.";к-т
110691;"AvanTech YOU крепление тонкого фасада (от 10мм) (9268149) Hettich";"273,9 грн.";шт
25395;"Направляющие телескоп. 45мм L=500mm MULLER с доводчиком";"354,6 грн.";к-т
52477;"Направляющие роликовые L=450мм белые";"74,7 грн.";к-т
96069;"Направляющие телескоп. 35мм L=250mm MULLER";"116,16 грн.";к-т
52501;"Направляющие телескопические полного выдвижения 42мм,  L=250мм";"82,26 грн.";к-т
52507;"Направляющие телескопические полного выдвижения 45мм, L = 550мм";"199,5 грн.";к-т
83176;"Направляющая телескопическая KA 5332 L=450мм (9057404) Hettich";"455,88 грн.";шт
96088;"Направляющие телескоп. 45мм L=400 MULLER profi line с доводчиком";"507,36 грн.";к-т
96070;"Направляющие телескоп. 45мм L=350mm MULLER";"180,42 грн.";к-т
39082;"Направляющие телескоп. 53мм 80кг L=900mm MULLER";"1631,16 грн.";к-т
98156;"Направляющие роликовые L=300 1,2 мм Muller";"82,02 грн.";к-т
55115;"Quadro V6.Silent System L=400мм полного выдвижения, правая, ДСП до 19 мм (9225678)";"471,42 грн.";шт
55858;"Quadro V6.Silent System L=350мм полного выдвижения, правая, ДСП до 19 мм (9225676)";"461,64 грн.";шт
55124;"Quadro 25.P2O L=500мм частичного выдвижения, правая, ДСП до 19 мм (9212728)";"273,42 грн.";шт
55834;"Quadro V6.P2O L=400мм полного выдвижения, правая, ДСП до 19 мм (9225740)";"530,04 грн.";шт
55847;"Quadro 25.P2O L=400мм частичного выдвижения, правая, ДСП до 19 мм (9212724)";"256,98 грн.";шт
46657;"Адаптер для штанги синхронизации Р2О тип А QV6, QV6+ SFP (9219966) Hettich";"28,14 грн.";шт
64134;"Направляющие скрытого монтажа част. выдвиж. SC L=500 Muller 18мм max";"414,18 грн.";к-т
67288;"Механизм Push to open Silent для Quadro 4D мощный (9246316) Hettich";"1221,78 грн.";шт
67281;"Quadro 4D SilentSystem L=550 мм полного выдвижения, к-т, ДСП 16мм (9245394) Hettich";"1431,66 грн.";шт
78143;"Комплект направляющих Quadro полн/в P2O L=400 EB=23 (ДСП до 19 мм)";"1118,56 грн.";к-т
78152;"Комплект направляющих Quadro полн/в с доводчиком L=300 EB=23 (ДСП до 19 мм)";"962,18 грн.";к-т
85050;"Направляющие телескопические 42мм L=450мм черные";"136,92 грн.";к-т
120638;"AvanTech YOU Комплект боковин H=187, Inlay (под стекло) L=600мм, антрацит (9257192) Hettich";"1841,76 грн.";шт
120646;"AvanTech YOU Комплект боковин H=187, Inlay (под стекло) L=500мм, белый (9257183) Hettich";"1785 грн.";шт
120654;"AvanTech YOU Комплект боковин H=187, Inlay (под стекло) L=350мм,серебро (9257173) Hettich";"1717,08 грн.";шт
119738;"Комплект направляющих Actro YOU L=550мм полного выдвижения с доводчиком (40кг)";"1265,44 грн.";к-т
119021;"AvanTech YOU Комплект боковин H=187, L=500мм, белый (9255307) Hettich";"1733,04 грн.";шт
119043;"AvanTech YOU Комплект боковин H=187, L=350мм,серебро (9255264) Hettich";"1667,76 грн.";шт
123329;"Комплект направляющих Actro 5D L=350мм полного выдвижения с доводчиком (40кг)";"1284,64 грн.";к-т
123337;"Комплект направляющих Actro 5D L=750мм полного выдвижения с доводчиком (70кг)";"2068,86 грн.";к-т
119813;"AvanTech YOU Комплект боковин H=101, L=500мм, антрацит (9255329) Hettich";"1144,92 грн.";шт
119821;"AvanTech YOU Комплект боковин H=101, L=400мм, белый (9255287) Hettich";"1118,1 грн.";шт
118344;"AvanTech YOU Комплект боковин H=251, L=550мм,серебро (9255277) Hettich";"2507,34 грн.";шт
118352;"AvanTech YOU Комплект боковин H=251, L=400мм, белый (9255314) Hettich";"2405,76 грн.";шт
122872;"Направляющая скрытого монтажа Actro 5D L=350 левая (40кг) (9257067) Hettich";"535,74 грн.";шт
122881;"Направляющая скрытого монтажа Actro 5D L=550 левая (40кг) (9257083)";"585,42 грн.";шт
122889;"Направляющая скрытого монтажа Actro 5D L=750 левая (70кг) (9257118)";"927,84 грн.";шт
117071;"Quadro 25.Silent System L = 550мм частичного выдвижения, левая, ДСП до 19 мм (9291927) Hettich";"256,98 грн.";шт
117079;"Quadro V6.Silent System L = 550мм полного выдвижения, левая, ДСП до 19 мм (9254165) Hettich";"484,56 грн.";шт
119405;"Комплект направляющих Quadro полн/в P2O L = 250 EB = 23 (ДСП до 19 мм)";"1075,57 грн.";к-т
11255;"Релинги на метабокс L=500  Muller";"173,58 грн.";к-т
11252;"Метабоксы L=500 H-54 Muller";"250,2 грн.";к-т
32703;"Продольный релинг ArciTech L=450 белый, левый (9121997) Hettich";"153,06 грн.";шт
32701;"Боковина ArciTech H= 94 L=450 белая, левая (9121247) Hettich";"255,48 грн.";шт
16536;"Боковина ArciTech H=94 L=300 серебро, правая (9121199) Hettich";"242,16 грн.";шт
25937;"Боковина ArciTech H=94 L=400 серебро, правая 9121204 Hettich";"251,04 грн.";шт
13794;"Соединитель задней стенки H=186 ArciTech, антрацит,  правый (9121848)";"141,12 грн.";шт
13763;"Боковина ArciTech H=94 L=450 серебро, правая (9121206) Hettich";"255,48 грн.";шт
13802;"Адаптер для DesingSide H=92 серебр (9122973) Hettich";"594,12 грн.";шт
49762;"Фиксатор ArciTech для внутреннего ящика, Антрацит (9235834)";"272,04 грн.";шт
32953;"Соеденитель задней стенки H=218 ArciTech,шампань, левый (9132258) Hettich";"164,88 грн.";шт
54271;"Штанга для синхронизации Push to open L2000мм (9236718) Hettich";"310,08 грн.";шт
67819;"Боковина ArciTech L=550мм H=94мм антрацит правая (9121294)  Hettich";"264,42 грн.";шт
67818;"Боковина ArciTech L=550мм H=94мм антрацит левая (9121293)  Hettich";"264,42 грн.";шт
32993;"Надставка TopSide ArciTech H =92 L=500 антрацит  (9122921)  Hettich";"1117,5 грн.";шт
98102;"Комлект Muller Box L-500  Н-84";"945,54 грн.";шт
14788;"Надставка стекло L-450 для ящика  Muller Box";"269,1 грн.";шт
14783;"Релинг продольный L-350 для ящика Muller Box";"123,66 грн.";шт
14792;"Соеденитель для поперечного  релинга Muller Box";"11,34 грн.";шт
26737;"К-кт. креплений передней панели  Muller Box H-84 белый";"60,06 грн.";шт
26745;"Передняя панель для внутр.ящика Muller Box 1100мм белый";"709,44 грн.";шт
73572;"Комплект Muller Box profi line L-550 Н-95 белый";"1141,86 грн.";к-т
73580;"Комплект Muller Box profi line L-270 Н-178 белый";"1141,86 грн.";к-т
73588;"Комплект Muller Box profi line L-270 Н-95 антрацит";"843,96 грн.";к-т
73596;"Комплект Muller Box profi line L-400 Н-178 антрацит";"1290,78 грн.";к-т
73605;"Комплект Muller Box profi line L-550 Н-127 антрацит";"1216,32 грн.";к-т
14797;"Заглушка для Muller Box без логотипа";"2,82 грн.";шт
72003;"Комплект Muller Box L-500 с 2 релингами";"1304,29 грн.";к-т
72012;"Комплект Muller Box L-500 с 1 релингом белый";"1147,24 грн.";к-т
72020;"Комплект Muller Box L-500 внутренний ящик белый";"1733,02 грн.";к-т
117808;"Комплект внутр. ящик Muller Box profi line L-270 Н-95 белый";"1744,85 грн.";к-т
116433;"К-кт Muller Box L-450 Н-199 с надставкой стекло белый";"1356,31 грн.";к-т
29332;"Комплект для ящиков Atira, частичного выдвижения L=520мм H=144мм, серебристый Hettich";"1487,39 грн.";к-т
29167;"Комплект надставок DesignSide L=520мм Н=144мм, белая (9194809) Hettich";"1196,16 грн.";шт
29086;"Переднее крепление релинга, прикручивание, Atira (9002503) Hettich";"4,62 грн.";шт
29285;"Комплект для ящиков Atira, полного выдвижения L=350мм H=70мм, белый Hettich";"1350,33 грн.";к-т
29161;"Надставка TopSide L=420мм H=144мм, Atira, cтекло, белая (9194666) Hettich";"550,56 грн.";шт
29044;"Соединитель задней стенки H=70мм Atira, серебро, правый (1062502) Hettich";"59,7 грн.";шт
29330;"Комплект для ящиков Atira, частичного выдвижения L=520мм H=144мм, антрацит Hettich";"1487,39 грн.";к-т
29051;"Соединитель задней стенки H=144мм Atira, белый, левый (9194635) Hettich";"82,8 грн.";шт
29013;"Боковина Atira L=420 мм H=70мм серебристая, правая (9194397) Hettich";"224,22 грн.";шт
29128;"Организация OrgaStore 410, адаптер, серебро (9194617) Hettich";"87,96 грн.";шт
29100;"Quadro V6.Silent System L=420 полного выдвиж. Atira, левая (9047450)  Hettich";"394,44 грн.";шт
29168;"Надставка TopSide L=350мм H=144мм, Atira, антрацит (9194693) Hettich";"574,32 грн.";шт
29072;"Продольный релинг L=420мм, Atira , белый, левый (9194543) Hettich";"119,34 грн.";шт
29082;"Продольный релинг L=470мм, Atira , антрацит, левый (9194558) Hettich";"122,46 грн.";шт
29105;"Quadro 25.Silent System L=350 частичного выдвиж. Atira, левая (9158966)  Hettich";"251,7 грн.";шт
29177;"Соединитель лицевой панели Atira H=70мм, антрацит (9196349) Hettich";"200,1 грн.";шт
29107;"Quadro 25.Silent System L=420 частичного выдвиж. Atira, левая (9158968)  Hettich";"260,4 грн.";шт
29127;"Организация OrgaStore 410, релинг L=2000, серебро (9194614) Hettich";"580,14 грн.";шт
29334;"Комплект для ящиков Atira, полного выдвижения L=520мм H=176мм, белый Hettich";"1803,02 грн.";к-т
29312;"Комплект для ящиков Atira, полного выдвижения L=420мм H=176мм, антрацит Hettich";"1729,2 грн.";к-т
29315;"Комплект для ящиков Atira, частичного выдвижения L=420мм H=176мм, антрацит Hettich";"1461,13 грн.";к-т
29302;"Комплект для ящиков Atira, частичного выдвижения L=350мм H=176мм, серебристый Hettich";"1413,34 грн.";к-т
29115;"Организация OrgaTray 590 W=450 L=470 серебро (9194888) Hettich";"687,66 грн.";шт
29328;"Комплект для ящиков Atira, полного выдвижения L=520мм H=144мм, белый Hettich";"1761,03 грн.";к-т
29138;"Организация OrgaStore 410, перегородка, белая (9194620) Hettich";"111,36 грн.";шт
29041;"Заглушка Atira с логотипом Hettich серебро (9194646) Hettich";"8,04 грн.";шт
30476;"Дополнительный релинг L=520мм, Atira серебро, левая (9195020) Hettich";"125,58 грн.";шт
30473;"Дополнительный релинг L=470мм, Atira белая, правая (9195033) Hettich";"122,46 грн.";шт
30474;"Дополнительный релинг L=350мм,  Atira серебро, левая (9195014) Hettich";"114,9 грн.";шт
29163;"Надставка TopSide L=520мм H=144мм, Atira, cтекло, белая (9194668) Hettich";"559,14 грн.";шт
30460;"Дополнительный релинг L=520мм, Atira белая, правая (9195035) Hettich";"125,58 грн.";шт
29256;"Комплект для ящиков Atira, полного выдвижения L=470мм H=70мм, серебристый Hettich";"1423,88 грн.";к-т
30483;"Направляющая Quadro V6 P2O L=350 полного выдвиж. 10,5 Atira левая (9117372) Hettich";"524,1 грн.";шт
51855;"Комплект для внутренних ящиков Atira, полного выдвижения L=350мм H=70мм, серебристый Hettich";"2977,66 грн.";к-т
51807;"Комплект для ящиков Atira, частичного выдвижения L=420мм H=176мм, антрацит Hettich (2 релинга)";"1708,9 грн.";к-т
51812;"Комплект для ящиков Atira, полного выдвижения L=470мм H=176мм, серебристый Hettich (2 релинга)";"2020,18 грн.";к-т
51984;"Комплект для ящиков Atira, полного выдвижения Р2О L=350мм H=70мм, антрацит Hettich";"1630,94 грн.";к-т
51955;"Комплект ящиков Atira, полного выдвижения со стекл.надставкой DesignSide L=520мм H=144мм, белый";"2696,83 грн.";к-т
52157;"Комплект ящиков Atira, полного выдвижения с метал.надставками TopSide L=420мм H=144мм, белый";"2506,13 грн.";к-т
51982;"Комплект для ящиков Atira, полного выдвижения Р2О L=350мм H=176мм, серебристый Hettich (2 релинга)";"2197,11 грн.";к-т
51978;"Комплект для ящиков Atira, полного выдвижения Р2О L=350мм H=176мм, антрацит Hettich (2 релинга)";"2197,11 грн.";к-т
51971;"Комплект ящиков Atira, частичного выдвижения с стекл.надставками TopSide L=350мм H=144мм, серебро";"2154,41 грн.";к-т
51913;"Комплект для внутренних ящиков Atira, полного выдвижения L=520мм H=70мм, белый Hettich";"3081,84 грн.";к-т
52191;"Комплект ящиков Atira, частичного выдвижения с метал.надставками TopSide L=470мм H=144мм, антрацит";"2276,49 грн.";к-т
51981;"Комплект для ящиков Atira, полного выдвижения Р2О L=350мм H=176мм, серебристый Hettich";"1958,13 грн.";к-т
51916;"Комплект для внутренних ящиков Atira, частичного выдвижения L=520мм H=70мм, белый Hettich";"2808,2 грн.";к-т
51810;"Комплект для ящиков Atira, полного выдвижения L=470мм H=176мм, антрацит Hettich (2 релинга)";"2020,18 грн.";к-т
51910;"Комплект для внутренних ящиков Atira, частичного выдвижения L=520мм H=144мм, серебристый Hettich";"3885,78 грн.";к-т
51854;"Комплект для внутренних ящиков Atira, полного выдвижения L=350мм H=70мм, антрацит Hettich";"2977,66 грн.";к-т
52196;"Комплект ящиков Atira, полного выдвижения с стекл.надставками TopSide L=470мм H=144мм, белый";"2517,53 грн.";к-т
52167;"Комплект ящиков Atira, полного выдвижения с стекл.надставками TopSide L=420мм H=144мм, белый";"2476,29 грн.";к-т
52165;"Комплект ящиков Atira, полного выдвижения с стекл.надставками TopSide L=420мм H=144мм, антрацит";"2476,29 грн.";к-т
51876;"Комплект для внутренних ящиков Atira, частичного выдвижения L=420мм H=144мм, белый Hettich";"3817,53 грн.";к-т
51852;"Комплект внутрішніх шухляд Atira, часткового висування L = 350мм H = 144мм, білий Hettich";"3769,73 грн.";к-т
51974;"Комплект для ящиков Atira, полного выдвижения P2O L=350мм H=144мм, белый Hettich";"1916,14 грн.";к-т
51950;"Комплект ящиков Atira, полного выдвижения со стекл.надставкой DesignSide L=470мм H=144мм, серебро";"2655,49 грн.";к-т
51949;"Комплект ящиков Atira, частичного выдвижения с стекл.надставкой DesignSide L=470мм H=144мм, белый";"2384,65 грн.";к-т
57113;"Продольный релинг для внутренних ящиков L= 520 мм, Atira, серебро, левый (9194572) Hettich";"125,58 грн.";шт
57131;"Продольный релинг для внутренних ящиков L= 350 мм, Atira, антрацит, левый (9194586) Hettich";"114,9 грн.";шт
57148;"Продольный релинг для внутренних ящиков L= 520 мм, Atira, антрацит, правый (9194593) Hettich";"125,58 грн.";шт
66480;"Ящик с вырезом под мойку Atira, полного выдвижения L=470мм H=144/70мм, антрацит Hettich";"2306,93 грн.";к-т
66477;"Ящик с вырезом под мойку Atira, частичного выдвижения L=470мм H=70/70мм, антрацит Hettich";"1735,83 грн.";к-т
64688;"Крепежный элемент под запрессовку для лицевой панели Atira (1061450) Hettich";"12,66 грн.";шт
67261;"Комплект соединителей задней стенки H=54мм Atira белый (9196136) Hettich";"202,2 грн.";шт
73826;"Комплект ящиков Atira, полного выдвижения со стекл.надс. DesignSide P2O SS L=350мм H=144мм, антрацит";"3626,57 грн.";к-т
73186;"Комплект для ящиков Atira, полного выдвижения P2O Silent L=470мм H=70мм, антрацит Hettich";"2494,22 грн.";к-т
73841;"Комплект для внутренних ящиков Atira, полного выдвижения P2O SS L=350мм H=144мм, серебристый Hettich";"5104,33 грн.";к-т
71724;"Quadro V6.Push to open Silent L=350 полного выдвиж. 10,5 Atira, комплект (л+п) (9243697) Hettich";"863,04 грн.";шт
73849;"Комплект для ящиков Atira, полного выдвижения P2O SS L=420мм H=176мм, антрацит";"2799,57 грн.";к-т
73863;"Комплект для ящиков Atira, полного выдвижения P2O SS L=350мм H=176мм, белый (2 релинга)";"2986,92 грн.";к-т
73772;"Комплект для ящиков Atira, полного выдвижения P2O SS L=420мм H=144мм, белый Hettich";"2757,58 грн.";к-т
73652;"Комплект ящиков Atira, полного выдвижения с мет.надставками TopSide P2O SS L=470мм H=144мм, белый";"3617,68 грн.";к-т
73719;"Комплект ящиков Atira, полного выдвижения со стекл.надст. DesignSide P2O SS L=520мм H=144мм, белый";"3767,13 грн.";к-т
73733;"Комплект для ящиков Atira, полного выдвижения P2O SS L=520мм H=176мм, серебро Hettich (2 релинга)";"3133,63 грн.";к-т
73860;"Комплект для ящиков Atira, полного выдвижения P2O SS L=350мм H=176мм, антрацит";"2747,93 грн.";к-т
71725;"Quadro V6.Push to open Silent L=420 полного выдвиж. 10,5 Atira, комплект (л+п) (9243700) Hettich";"884,22 грн.";шт
73730;"Комплект для ящиков Atira, полного выдвижения P2O SS L=520мм H=176мм, белый Hettich";"2873,33 грн.";к-т
73751;"Комплект для ящиков Atira, полного выдвижения P2O SS L=420мм H=70мм, серебристый Hettich";"2463,59 грн.";к-т
73695;"Комплект для внутренних ящиков Atira, полного выдвижения P2O L=520мм H=144мм, антрацит Hettich";"4431,6 грн.";к-т
