"Арт №";"Наименование позиции";"Цена, грн";Ед.
29056;"Соединитель задней стенки H=70мм Atira, антрацит, правый (9194630) Hettich";"59,7 грн.";шт
29074;"Продольный релинг L=470мм, Atira , белый, левый (9194545) Hettich";"122,46 грн.";шт
29306;"Комплект для ящиков Atira, полного выдвижения L=420мм H=144мм, антрацит Hettich";"1687,21 грн.";к-т
29085;"Продольный релинг L=520мм, Atira , антрацит, правый (9194561) Hettich";"125,58 грн.";шт
29295;"Комплект для ящиков Atira, частичного выдвижения L=350мм H=144мм, белый Hettich";"1371,34 грн.";к-т
30462;"Дополнительный релинг L=420мм, Atira серебро, правая (9195017) Hettich";"119,34 грн.";шт
30475;"Дополнительный релинг L=350мм, Atira серебро, правая (9195015) Hettich";"114,9 грн.";шт
30465;"Дополнительный релинг L=350мм, Atira антрацит, правая (9195043) Hettich";"114,9 грн.";шт
29146;"Надставка TopSide L=520мм H=144мм, Atira, серебристая (9194682) Hettich";"588,96 грн.";шт
29320;"Комплект для ящиков Atira, полного выдвижения L=420мм H=70мм, белый Hettich";"1393,22 грн.";к-т
31208;"Дополнительный релинг  L=470мм, Atira серебро,  левый (9195018) Hettich";"122,46 грн.";шт
29257;"Комплект для ящиков Atira, полного выдвижения L=470мм H=70мм, белый Hettich";"1423,88 грн.";к-т
30484;"Направляющая Quadro V6 P2O L=520 полного выдвиж. 10,5 Atira правая (9118404) Hettich";"545,7 грн.";шт
51948;"Комплект ящиков Atira, полного выдвижения со стекл.надставкой DesignSide L=470мм H=144мм, белый";"2655,49 грн.";к-т
51915;"Комплект для внутренних ящиков Atira, частичного выдвижения L=520мм H=70мм, антрацит Hettich";"2808,2 грн.";к-т
51923;"Комплект ящиков Atira, полного выдвижения со стекл.надставкой DesignSide L=350мм H=144мм, серебро";"2556,15 грн.";к-т
51850;"Комплект для внутренних ящиков Atira, полного выдвижения L=350мм H=144мм, серебристый Hettich";"4033,91 грн.";к-т
52260;"Комплект ящиков Atira, частичного выдвижения с стекл.надставками TopSide L=520мм H=144мм, серебро";"2285,07 грн.";к-т
53502;"Комплект для ящиков Atira, полного выдвижения Р2О L=420мм H=70мм, антрацит Hettich";"1670,39 грн.";к-т
52273;"Комплект для ящиков Atira, полного выдвижения Р2О L=520мм H=70мм, антрацит Hettich";"1726,69 грн.";к-т
51902;"Комплект для внутренних ящиков Atira, частичного выдвижения L=470мм H=70мм, белый Hettich";"2780,37 грн.";к-т
51800;"Комплект для ящиков Atira, частичного выдвижения L=350мм H=176мм, антрацит Hettich (2 релинга)";"1652,32 грн.";к-т
52271;"Комплект для ящиков Atira, полного выдвижения Р2О L=520мм H=176мм, серебристый Hettich (2 релинга)";"2335,52 грн.";к-т
51799;"Комплект для ящиков Atira, полного выдвижения L=350мм H=176мм, серебристый Hettich (2 релинга)";"1916,5 грн.";к-т
52274;"Комплект для ящиков Atira, полного выдвижения Р2О L=520мм H=70мм, белый Hettich";"1726,69 грн.";к-т
51811;"Комплект для ящиков Atira, полного выдвижения L=470мм H=176мм, белый Hettich (2 релинга)";"2020,18 грн.";к-т
52178;"Комплект для ящиков Atira, полного выдвижения Р2О L=420мм H=176мм, серебристый Hettich (2 релинга)";"2254,14 грн.";к-т
